CUSTOMERNAME,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,QUANTITYORDERED,CITY,COUNTRY
Mini Gifts Distributors Ltd.,100,5780.92,12-10-04 0:00,Shipped,Classic Cars,43,San Rafael,USA
"Anna's Decorations, Ltd",65.63,2297.05,1/20/2005 0:00,Shipped,Classic Cars,35,North Sydney,Australia
Corporate Gift Ideas Co.,100,6231.54,2/17/2005 0:00,Shipped,Classic Cars,37,San Francisco,USA
"Anna's Decorations, Ltd",46.9,1735.3,03-09-05 0:00,Shipped,Classic Cars,37,North Sydney,Australia
Quebec Home Shopping Network,100,4427.73,05-01-05 0:00,Shipped,Classic Cars,27,Montreal,Canada
La Rochelle Gifts,100,5894.94,5/31/2005 0:00,In Process,Classic Cars,38,Nantes,France
Cruz & Sons Co.,100,5265.15,03-03-03 0:00,Shipped,Classic Cars,33,Makati City,Philippines
Marseille Mini Autos,100,7599.9,05-08-03 0:00,Shipped,Classic Cars,42,Marseille,France
Mini Gifts Distributors Ltd.,100,8008.56,07-02-03 0:00,Shipped,Classic Cars,42,San Rafael,USA
Collectables For Less Inc.,100,9245.76,09-05-03 0:00,Shipped,Classic Cars,48,Brickhaven,USA
Corporate Gift Ideas Co.,100,8296.35,10-10-03 0:00,Shipped,Classic Cars,41,San Francisco,USA
"Anna's Decorations, Ltd",100,5019.9,11-04-03 0:00,Shipped,Classic Cars,30,North Sydney,Australia
Herkku Gifts,100,5411.07,11-12-03 0:00,Shipped,Classic Cars,27,Bergen,Norway
"Toms Spezialitten, Ltd",100,3840.9,11/20/2003 0:00,Shipped,Classic Cars,21,Koln,Germany
Euro Shopping Channel,100,3930.4,12-02-03 0:00,Shipped,Classic Cars,20,Madrid,Spain
Auto Canal Petit,100,7498.9,1/15/2004 0:00,Shipped,Classic Cars,41,Paris,France
"Vida Sport, Ltd",100,4517.91,2/22/2004 0:00,Shipped,Classic Cars,27,Gensve,Switzerland
Danish Wholesale Imports,100,5774.72,04-09-04 0:00,Shipped,Classic Cars,28,Kobenhavn,Denmark
"UK Collectables, Ltd.",100,3922.56,06-01-04 0:00,Cancelled,Classic Cars,24,Liverpool,UK
L'ordine Souveniers,100,9160.36,07-06-04 0:00,Shipped,Classic Cars,44,Reggio Emilia,Italy
Online Mini Collectables,100,9631,08-02-04 0:00,Shipped,Classic Cars,50,Brickhaven,USA
"Vida Sport, Ltd",100,3432.24,8/30/2004 0:00,Shipped,Classic Cars,21,Gensve,Switzerland
"Blauer See Auto, Co.",100,5521.89,10-04-03 0:00,Shipped,Classic Cars,33,Frankfurt,Germany
"Toms Spezialitten, Ltd",100,6934.62,10/16/2004 0:00,Shipped,Classic Cars,33,Koln,Germany
"Volvo Model Replicas, Co",100,6876.11,11-03-04 0:00,Shipped,Classic Cars,31,Lule,Sweden
Land of Toys Inc.,71.47,2930.27,11/15/2004 0:00,Shipped,Classic Cars,41,NYC,USA
Salzburg Collectables,79.65,3584.25,11/24/2004 0:00,Shipped,Classic Cars,45,Salzburg,Austria
Suominen Souveniers,85.39,2817.87,01-06-05 0:00,Shipped,Classic Cars,33,Espoo,Finland
La Rochelle Gifts,76,3420,02-03-05 0:00,Shipped,Classic Cars,45,Nantes,France
Scandinavian Gift Ideas,99.04,2575.04,03-03-05 0:00,Shipped,Classic Cars,26,Boras,Sweden
Salzburg Collectables,100,1961.28,5/17/2005 0:00,Shipped,Classic Cars,12,Salzburg,Austria
Danish Wholesale Imports,100,8690.36,02-11-03 0:00,Shipped,Classic Cars,41,Kobenhavn,Denmark
"Dragon Souveniers, Ltd.",100,6034.38,4/16/2003 0:00,Shipped,Classic Cars,33,Singapore,Singapore
Muscle Machine Inc,100,11279.2,06-03-03 0:00,Shipped,Classic Cars,46,NYC,USA
Mini Gifts Distributors Ltd.,100,8023.29,08-08-03 0:00,Shipped,Classic Cars,33,San Rafael,USA
Euro Shopping Channel,100,4904,9/28/2003 0:00,Shipped,Classic Cars,20,Madrid,Spain
"Dragon Souveniers, Ltd.",100,8594.52,10/22/2003 0:00,Shipped,Classic Cars,44,Singapore,Singapore
L'ordine Souveniers,100,7474.5,11-06-03 0:00,Shipped,Classic Cars,33,Reggio Emilia,Italy
Mini Creations Ltd.,100,3883.74,11/14/2003 0:00,Shipped,Classic Cars,21,New Bedford,USA
Super Scale Inc.,100,8887.7,11/26/2003 0:00,Shipped,Classic Cars,47,New Haven,USA
"Saveley & Henriot, Co.",100,8602.92,01-02-04 0:00,Shipped,Classic Cars,46,Lyon,France
"Clover Collections, Co.",100,7181.44,02-12-04 0:00,Shipped,Classic Cars,32,Dublin,Ireland
CAF Imports,100,8378.58,3/19/2004 0:00,Shipped,Classic Cars,42,Madrid,Spain
Suominen Souveniers,100,10606.2,05-05-04 0:00,Shipped,Classic Cars,44,Espoo,Finland
Diecast Classics Inc.,100,5818.4,7/20/2004 0:00,Shipped,Classic Cars,35,Allentown,USA
Mini Gifts Distributors Ltd.,100,7071.27,8/20/2004 0:00,Shipped,Classic Cars,41,San Rafael,USA
Amica Models & Co.,100,8411.56,09-09-04 0:00,Shipped,Classic Cars,46,Torino,Italy
"AV Stores, Co.",100,6570.76,10/14/2004 0:00,Shipped,Classic Cars,31,Manchester,UK
Heintze Collectables,100,7975.44,10/22/2004 0:00,Shipped,Classic Cars,38,Aaarhus,Denmark
Baane Mini Imports,64,2688,11-05-04 0:00,Shipped,Classic Cars,42,Stavern,Norway
"La Corne D'abondance, Co.",57.22,1888.26,11/20/2004 0:00,Shipped,Classic Cars,33,Paris,France
"Corrida Auto Replicas, Ltd",52.36,2513.28,11-01-04 0:00,Shipped,Classic Cars,48,Madrid,Spain
Reims Collectables,100,4764.48,12/15/2004 0:00,Shipped,Classic Cars,42,Reims,France
Mini Gifts Distributors Ltd.,100,3560.64,1/23/2005 0:00,Shipped,Classic Cars,32,San Rafael,USA
Mini Gifts Distributors Ltd.,100,3823.64,2/17/2005 0:00,Shipped,Classic Cars,34,San Rafael,USA
Lyon Souveniers,69.12,2280.96,3/17/2005 0:00,Shipped,Classic Cars,33,Paris,France
Gift Depot Inc.,100,8677.8,05-05-05 0:00,Shipped,Classic Cars,36,Bridgewater,USA
Baane Mini Imports,100,3394.98,1/29/2003 0:00,Shipped,Trucks and Buses,27,Stavern,Norway
Mini Gifts Distributors Ltd.,100,3415.44,3/26/2003 0:00,Shipped,Trucks and Buses,21,San Rafael,USA
"Corrida Auto Replicas, Ltd",100,2439.57,5/28/2003 0:00,Shipped,Trucks and Buses,21,Madrid,Spain
Technics Stores Inc.,100,4829.8,7/24/2003 0:00,Shipped,Trucks and Buses,38,Burlingame,USA
"Dragon Souveniers, Ltd.",100,4100.1,9/19/2003 0:00,Shipped,Trucks and Buses,30,Singapore,Singapore
Mini Auto Werke,100,6563.06,10/21/2003 0:00,Resolved,Trucks and Buses,49,Graz,Austria
"Australian Gift Network, Co",100,6817.22,11-06-03 0:00,Shipped,Trucks and Buses,43,South Brisbane,Australia
"Classic Gift Ideas, Inc",100,6163.94,11/13/2003 0:00,Shipped,Trucks and Buses,41,Philadelphia,USA
"Saveley & Henriot, Co.",100,4933.92,11/25/2003 0:00,Shipped,Trucks and Buses,38,Lyon,France
Canadian Gift Exchange Network,100,4056.36,12-05-03 0:00,Shipped,Trucks and Buses,28,Vancouver,Canada
Auto Assoc. & Cie.,100,5759.42,02-02-04 0:00,Shipped,Trucks and Buses,43,Versailles,France
Mini Gifts Distributors Ltd.,100,3451,03-11-04 0:00,Shipped,Trucks and Buses,25,San Rafael,USA
Super Scale Inc.,100,5920.4,05-04-04 0:00,Shipped,Trucks and Buses,38,New Haven,USA
"Tokyo Collectables, Ltd",100,6668.24,6/15/2004 0:00,Shipped,Trucks and Buses,41,Minato-ku,Japan
Souveniers And Things Co.,100,4094.72,7/19/2004 0:00,Shipped,Trucks and Buses,28,Chatswood,Australia
Diecast Classics Inc.,100,2938.5,8/19/2004 0:00,Shipped,Trucks and Buses,25,Allentown,USA
Scandinavian Gift Ideas,100,6387.8,09-08-04 0:00,Shipped,Trucks and Buses,41,Boras,Sweden
Auto Assoc. & Cie.,100,6396,10-11-04 0:00,Shipped,Trucks and Buses,39,Versailles,France
Canadian Gift Exchange Network,100,2669.1,10/22/2004 0:00,Shipped,Trucks and Buses,21,Vancouver,Canada
Online Diecast Creations Co.,100,4784.13,11-04-04 0:00,Shipped,Trucks and Buses,27,Nashua,USA
Mini Wheels Co.,99.21,3273.93,11/18/2004 0:00,Shipped,Trucks and Buses,33,San Francisco,USA
"Australian Collectors, Co.",100,3586.43,11/29/2004 0:00,Shipped,Trucks and Buses,29,Melbourne,Australia
Mini Gifts Distributors Ltd.,100,5960.36,12-10-04 0:00,Shipped,Trucks and Buses,49,San Rafael,USA
"Anna's Decorations, Ltd",100,8470.14,1/20/2005 0:00,Shipped,Trucks and Buses,49,North Sydney,Australia
Corporate Gift Ideas Co.,100,2952,2/17/2005 0:00,Shipped,Trucks and Buses,20,San Francisco,USA
"Anna's Decorations, Ltd",63.2,2464.8,03-09-05 0:00,Shipped,Trucks and Buses,39,North Sydney,Australia
Quebec Home Shopping Network,100,6232,05-01-05 0:00,Shipped,Trucks and Buses,40,Montreal,Canada
Euro Shopping Channel,100,7969.36,5/31/2005 0:00,In Process,Trucks and Buses,49,Madrid,Spain
Land of Toys Inc.,100,3036.6,2/24/2003 0:00,Shipped,Motorcycles,21,NYC,USA
Reims Collectables,100,8284,05-07-03 0:00,Shipped,Motorcycles,50,Reims,France
Lyon Souveniers,100,2711.2,07-01-03 0:00,Shipped,Motorcycles,20,Paris,France
Toys4GrownUps.com,100,8339.8,8/25/2003 0:00,Shipped,Motorcycles,49,Pasadena,USA
Corporate Gift Ideas Co.,100,6238.84,10-10-03 0:00,Shipped,Motorcycles,38,San Francisco,USA
"Anna's Decorations, Ltd",100,4639.25,11-04-03 0:00,Shipped,Motorcycles,35,North Sydney,Australia
Daedalus Designs Imports,100,6747.6,11-11-03 0:00,Shipped,Motorcycles,40,Lille,France
Toys4GrownUps.com,100,4512.48,11/18/2003 0:00,Shipped,Motorcycles,28,Pasadena,USA
Mini Wheels Co.,100,4029,12-01-03 0:00,Shipped,Motorcycles,25,San Francisco,USA
Auto Canal Petit,100,4771.8,1/15/2004 0:00,Shipped,Motorcycles,36,Paris,France
Daedalus Designs Imports,100,6087.94,2/21/2004 0:00,Shipped,Motorcycles,43,Lille,France
Vitachrome Inc.,100,4193.28,04-05-04 0:00,Shipped,Motorcycles,32,NYC,USA
Tekni Collectables Inc.,100,7552.28,5/18/2004 0:00,Shipped,Motorcycles,46,Newark,USA
Gift Depot Inc.,100,6434.4,6/28/2004 0:00,Shipped,Motorcycles,48,Bridgewater,USA
Online Mini Collectables,100,5181.5,08-02-04 0:00,Shipped,Motorcycles,43,Brickhaven,USA
Marta's Replicas Co.,100,6863.92,8/27/2004 0:00,Shipped,Motorcycles,49,Cambridge,USA
"Toys of Finland, Co.",100,4157.04,9/30/2004 0:00,Shipped,Motorcycles,24,Helsinki,Finland
Baane Mini Imports,100,4660.24,10/15/2004 0:00,Shipped,Motorcycles,26,Stavern,Norway
Microscale Inc.,100,4111.8,11-03-04 0:00,Shipped,Motorcycles,30,NYC,USA
Land of Toys Inc.,100,3542.64,11/15/2004 0:00,Shipped,Motorcycles,24,NYC,USA
